Nombre,Precio,Cantidad
Sal de Mesa,0.99,400
Platanos,1.25,400
Tacos de Carne,1.5,400
Zanahorias,1.3,350
Pasta Espagueti,1.69,350
Yogurt Natural,1.0,300
Garbanzos en Lata,1.29,300
Salsas Picantes,1.75,300
Coca-Cola 2L,1.89,300
Mango,2.0,300
Papa Criolla,2.5,300
Azucar Blanca,1.2,250
Leche Entera Larga Vida,1.3,250
Manzanas Rojas,1.8,250
Atun en Lata,1.8,250
Pan de Molde,1.99,250
Tomates Frescos,3.0,250
Cerveza Corona,1.99,220
Pina en Lata,1.99,220
Cebollas,2.0,220
Chiles Jalapenos,1.5,200
Salsas para Pasta,2.0,200
Galletas Oreo,3.0,200
Cereal Kellogg's Corn Flakes,3.5,200
Fresas Frescas,3.5,200
Cafe Molido,3.99,200
Harina de Trigo,1.49,180
Lechuga Romana,2.5,180
Jugo de Naranja,2.5,180
Aceitunas Verdes,2.5,180
Jabon Liquido Palmolive,2.99,180
Te Verde,2.99,180
Lentejas Secas,1.8,170
Papas Fritas Lay's,2.5,150
Mermelada de Fresa,2.5,150
Arroz Jazmin,2.99,150
Frutos Secos,4.0,150
Shampoo Head & Shoulders,5.5,150
Queso Cheddar,5.99,150
Leche Condensada,3.49,130
Cereal Quaker,4.2,130
Salmon en Lata,2.5,120
Frijoles Negros,2.99,120
Aspirina 500mg,4.99,120
Pechuga de Pavo,4.99,110
Arandanos,3.99,100
Mantequilla,4.5,100
Pistachos,5.5,100
Carne Molida,6.5,100
Toallas de Papel Scott,6.99,100
Pechuga de Pollo,5.99,90
Aceite de Oliva Extra Virgen,7.99,90
Almendras,6.0,80
Papel Higienico Charmin,9.99,75
Vino Tinto,6.99,50
Filete de Res,12.0,50
